english,swedish,source,notes
complete class (of tests),fullständig klass (av tester),ISI,
complete correlation matrix,fullständig korrelationsmatris,ISI,
complete Latin square,fullständig romersk kvadrat,ISI,
complete linkage clustering,fullständig länk-klustring,ISI,
complete set of Latin squares,fullständig mängd av romerska kvadrater,ISI,
complete sufficient statistic,fullständig uttömmande statistika,ISI,
complete system of equations,fullständigt ekvationssystem,ISI,
completely randomised design ; completely randomized design,fullständigt randomiserad försöksplan,ISI,
completeness,fullständighet,ISI,
complier average causal effect (CACE),genomsnittlig kausaleffekt bland följare,Lodefalk,Also called LATE
component analysis,komponentanalys,ISI,
component bar chart,ackumulerat stapeldiagram,ISI,
component of interaction,samspelskomponent,ISI,
component of variance ; variance component,varianskomponent,ISI,
composite estimator,sammansatt estimator,ISI,
composite hypothesis,sammansatt hypotes,ISI,
composite sampling scheme,sammansatt urvalsplan,ISI,
compound distribution ; compound frequency distribution,sammansatt fördelning,ISI,
compressed limits,insnävade gränser,ISI,
computer-intensive methods,datorintensiv metod,ISI,
concentration,koncentration,ISI,
concomitant variable ; covariate,kovariat,ISI,
concordance,konkordans,ISI,
conditional,betingad,ISI,
conditional average treatment effect (CATE),villkorlig genomsnittlig behandlingseffekt,Lodefalk,
conditional distribution,betingad fördelning,ISI,
conditional expectation ; conditional expected value,betingat väntevärde,ISI,
conditional failure rate ; hazard,hasard,ISI,
conditional Gaussian distribution ; CG distribution,betingad normalfördelning,ISI,
conditional independence,betingat oberoende,ISI,
conditional inference,betingad inferens,ISI,
conditional likelihood,betingad likelihood,ISI,
conditional logistic regression,betingad logistisk regression,ISI,
conditional maximum likelihood,betingad maximum likelihood,ISI,
conditional power function,betingad styrkefunktion,ISI,
conditional probability,betingad sannolikhet,ISI,
conditional regression,betingad regression,ISI,
conditional statistic,betingad statistika,ISI,
conditional survivor function,betingad överlevnadsfunktion,ISI,
conditional test,betingat test,ISI,
conditionally unbiased estimator,betingat väntevärdesriktig skattning,ISI,
confidence belt ; confidence band,konfidensband,ISI,
confidence coefficient ; confidence level,konfidensnivå,ISI,
confidence interval,konfidensintervall,ISI,
confidence limits,konfidensgränser,ISI,
confidence region,konfidensområde,ISI,
configuration ; grid sampling,konfiguration,ISI,
confirmatory factor analysis ; CFA,konfirmativ faktoranalys,ISI,
confluence analysis,konfluensanalys,ISI,
conformity,överensstämmelse,ISI,
confounding,confounding,ISI,
conjugate distribution,konjugerad fördelning,ISI,
conjugate Latin squares,konjugerade romerska kvadrater,ISI,
conjugate prior,konjugerad apriorifördelning,ISI,
conjugate ranking,konjugerad rangordning,ISI,
consistency,konsistens,ISI,
consistent estimator,konsistent estimator,ISI,
consistent test,konsistent test,ISI,
constraint,bivillkor,ISI,
consumer price index ; cost-of-living index ; consumption price index ; CPI,konsumentprisindex,ISI,
consumer's risk,konsumentrisk,ISI,
contagious distribution,kontagiös fördelning,ISI,
contaminated distribution,kontaminerad fördelning,ISI,
content validity,innehållsvaliditet,ISI,
contingency,kontingens,ISI,
contingency table,kontingenstabell,ISI,
continuity,kontinuitet,ISI,
continuity correction ; correction for continuity,kontinuitetskorrektion,ISI,
continuous process,kontinuerlig process,ISI,
continuous random variable,kontinuerlig stokastisk variabel,ISI,
continuous sampling plans,kontinuerlig provtagningsplan,ISI,
contrast,kontrast,ISI,
control,kontroll; styrning; reglering,ISI,
control chart,styrdiagram; kontrolldiagram,ISI,
control limits,styrgränser; kontrollgränser,ISI,
control method,styrmetod; kontrollmetod,ISI,
controlled process,styrd process; process under kontroll,ISI,
convergence in measure,konvergens i fördelning,ISI,
convergence in probability,konvergens i sannolikhet,ISI,
convolution,faltning; konvolution,ISI,
copula,kopula,ISI,
corrected moment,korrigerat moment,ISI,
correction factor,korrektionsfaktor,ISI,
correction for grouping,korrektion för klassindelning,ISI,
correlation,korrelation,ISI,
correlation matrix,korrelationsmatris,ISI,
correlation table,korrelationstabell,ISI,
correlogram,korrelogram,ISI,
correspondence analysis ; reciprocal scaling,korrespondensanalys,ISI,
cost function,kostnadsfunktion,ISI,
counterfactual,kontrafaktisk,Lodefalk,
counting process,räkneprocess,ISI,
covariance,kovarians,ISI,
covariance kernel,kovarianskärna,ISI,
covariance matrix ; dispersion matrix,kovariansmatris,ISI,
covariation,samvariation,ISI,
coverage,täckning,ISI,
coverage probability,täckningssannolikhet,ISI,
criterion,kriterium,ISI,
critical region ; rejection region,förkastelseområde,ISI,
critical value ; rejection limit ; significance point,kritiskt värde,ISI,
cross-correlation,korskorrelation,ISI,
cross-covariance,korskovarians,ISI,
cross-over design ; switchback design ; reversal design,crossover-design,ISI,
cross-sectional survey,tvärsnittsundersökning,ISI,
cross-validation,korsvalidering,ISI,
cubic lattice,kubgitter,ISI,
cumulant,kumulant,ISI,
cumulant generating function,kumulantgenererande funktion,ISI,
cumulative distribution function ; cumulative probability function ; cumulative frequency function ; distribution function ; probability integral,fördelningsfunktion,ISI,
cumulative error,ackumulerat fel,ISI,
cumulative frequency curve ; cumulative probability curve,fördelningsfunktion,ISI,
cumulative incidence,kumulativ incidens,ISI,
cumulative process,kumulativ process,ISI,
cumulative risk ; cumulative hazard,kumulativ risk,ISI,
cumulative sum chart,kusumdiagram,ISI,
cumulative sum distribution,kusumfördelning,ISI,
current life table,tidsbegränsad livslängdstabell,ISI,
curtailed inspection,avbruten kontroll,ISI,
curve fitting,kurvanpassning,ISI,
curve of concentration,koncentrationskurva,ISI,
curvilinear trend,kurvlinjär trend,ISI,
CUSUM procedures,kusumprocedur,ISI,
cut-off,cut-off,ISI,
cycle,cykel,ISI,
cyclic design,cyklisk försöksplan,ISI,
cyclic order,cyklisk ordning,ISI,
cyclic series,cyklisk serie,ISI,
damped oscillation,dämpad svängning,ISI,
damping factor,dämpningsfaktor,ISI,
data ; datum,data,ISI,
data analysis,dataanalys,ISI,
database ; data bank,databas,ISI,
death process,dödsprocess,ISI,
death rate,dödstal,ISI,
debiased machine learning,avbiasad maskininlärning,Lodefalk,Also: double ML
decapitated distribution ; decapitated negative binomial distribution,nolltrunkerad fördelning,ISI,
decile,decil,ISI,
decision function ; decision rule,beslutsfunktion,ISI,
decision space,beslutsrum,ISI,
decision theory,beslutsteori,ISI,
decomposable models,spjälkbar model,ISI,
decomposition,spjälkning,ISI,
deconvolution,dekonvolution,ISI,
decreasing failure rate,avtagande felintensitet,ISI,
decreasing hazard rate,avtagande hasard,ISI,
defective sample,ofullständigt stickprov,ISI,
defective unit,defekt enhet,ISI,
defining contrast,definierande kontrast,ISI,
degenerate distribution ; deterministic distribution,degenererad fördelning; enpunktsfördelning,ISI,
degree of belief,grad av tilltro,ISI,
degrees of freedom,frihetsgrader,ISI,
delta distribution,deltafördelning,ISI,
delta method,deltametod,ISI,
demodulation,demodulering,ISI,
demography,demografi,ISI,
dendrogram,dendrogram; träddiagram,ISI,
density estimation,skattning av täthetsfunktion,ISI,
density function,täthetsfunktion; frekvensfunktion,ISI,
departure process,utprocess,ISI,
dependence ; dependency,beroende,ISI,
dependent variable ; effect variable ; regressand ; response variable,beroende variabel,ISI,
derived statistics,härledd statistika,ISI,
descriptive indices,beskrivande index,ISI,
descriptive statistics,beskrivande statistik,ISI,
descriptive survey,beskrivande undersökning,ISI,
design matrix,design-matris,ISI,
design of experiments,försöksplanering,ISI,
design optimality ; optimality of design,design-optimalitet,ISI,
destructive test,förstörande provning,ISI,
determining variable,förklarande variabel,ISI,
deterministic model,deterministisk modell,ISI,
deterministic process,deterministisk process,ISI,
deviate ; deviation,standardiserad variabel,ISI,
diagonal regression,diagonal regression,ISI,
dichotomy,dikotomi,ISI,
difference sign test,teckentest på successiva ändringar,ISI,
difference-in-differences (DiD),skillnad-i-skillnader,Lodefalk,
differential process ; process with independent increments,differentialprocess,ISI,
differential-difference equation,differential-differensekvation,ISI,
diffuse prior ; vague prior,icke-informativ apriorifördelning,ISI,
diffusion index,diffusionsindex,ISI,
diffusion process,diffusionsprocess,ISI,
dilution series,utspädningsserie,ISI,
dimension reduction,dimensionsreducering,ISI,
direct correlation ; positive correlation,positiv korrelation,ISI,
direct sampling,direkturval,ISI,
direct standardisation ; direct standardization,direkt standardisering,ISI,
directed acyclic graph (DAG),riktad acyklisk graf,Lodefalk,
directional data,riktningsdata,ISI,
dirty data,oediterade data,ISI,
disability adjusted life year ; DALY,invaliditetsjusterade levnadsår,ISI,
discontinuous process,diskontinuerlig process,ISI,
discontinuous variable,diskontinuerlig variabel,ISI,
discordance,diskordans,ISI,
discounted least squares method,"diskonterad minsta-
kvadratmetod",ISI,
discrepance,diskrepans; skillnad,ISI,
discrete circular uniform distribution,"diskret cirkulär likformig
fördelning",ISI,
discrete distribution,diskret fördelning,ISI,
discrete lognormal distribution,diskret lognormalfördelning,ISI,
discrete normal distribution,diskret normalfördelning,ISI,
discrete power series distribution,diskret potensseriefördelning,ISI,
discrete probability law,diskret sannolikhetsfördelning,ISI,
discrete process,diskret process,ISI,
discrete random variable,diskret stokastisk variabel,ISI,
discrete rectangular distribution,diskret likformig fördelning,ISI,
discrete variate,diskret stokastisk variabel,ISI,
discrete wavelet transformation,diskret  wavelet-transformation,ISI,
discriminant analysis ; discriminatory analysis,diskriminantanalys,ISI,
disnormality,icke-normalitet,ISI,
dispersion ; spread ; variance,spridning; dispersion,ISI,
dispersion index ; index of dispersion,dispersionsindex,ISI,
dispersion stabilising transformation ; dispersion stabilizing transformation,spridningsstabiliserande transformation,ISI,
displaced Poisson distribution,förskjuten poissonfördelning,ISI,
disproportionate subclass numbers,icke-proportionella subklasstorlekar,ISI,
dissection (of heterogeneous distributions),uppdelning (av heterogen fördelning),ISI,
dissimilarity,olikhet,ISI,
dissymmetry,icke-symmetri,ISI,
distance,avstånd,ISI,
distance distributions,avståndsfördelning,ISI,
distance measures,avståndsmått,ISI,
distributed lag,fördelad tidsförskjutning,ISI,
distribution,fördelning,ISI,
distribution curve,fördelningskurva,ISI,
distribution mixture,fördelningblandning,ISI,
distribution of exceedances,överskridandefördelning,ISI,
distribution of run lengths,svitlängdsfördelning,ISI,
distribution-free method,fördelningfri metod,ISI,
distribution-free sufficiency,fördelningsfri tillräcklighet,ISI,
disturbed harmonic process,störd harmonisk process,ISI,
disturbed oscillation,störd svängning,ISI,
divergence,divergens,ISI,
domain of study,redovisningsgrupp; domän,ISI,
dominating strategy,dominerande strategi,ISI,
dose metameter,dosmetameter,ISI,
dose-response curve,dos-responskurva,ISI,
dose-response relationship,dos-responssamband,ISI,
dotplot,punktdiagram,ISI,
double binomial distribution,dubbel binomialfördelning,ISI,
double censoring,dubbel censurering,ISI,
double confounding,dubbel confounding,ISI,
double dichotomy,dubbel dikotomi,ISI,
double exponential distribution ; Laplace distribution,dubbel exponentialfördelning,ISI,
double logarithmic chart,dubbellogaritmiskt diagram,ISI,
double machine learning (DML),dubbel maskininlärning,Lodefalk,
double sampling,dubbelsampling,ISI,
double-blind,dubbelblind,ISI,
double-ratio estimator,dubbel-kvotestimator,ISI,
doubly stochastic matrix,dubbelstokastisk matris,ISI,
doubly stochastic Poisson process ; Cox process,dubbelstokastisk poissonprocess,ISI,
doubly truncated normal distribution,dubbelt trunkerad normalfördelning,ISI,
downward bias,systematisk underskattning,ISI,
dropout,avhoppare,ISI,
dual process,dualprocess,ISI,
duality,dualitet,ISI,
dummy observation,dummyobservation,ISI,
dummy treatment,dummybehandling,ISI,
dummy variable,dummyvariabel,ISI,
duplicate sample,parallellurval,ISI,
duplicated sample,duplicerat urval,ISI,
dynamic model,dynamisk modell,ISI,
dynamic programming,dynamisk programmering,ISI,
dynamic stochastic process,dynamisk stokastisk process,ISI,
dynamic treatment allocation,dynamisk behandlingsallokering,ISI,
D²-statistic ; Mahalanobis' generalised distance ; Mahalanobis' generalized distance,D²-statistika,ISI,
econometrics,ekonometri,ISI,
effective degrees of freedom,effektivt antal frihetsgrader,ISI,
effective unit,icke-defekt enhet,ISI,
efficiency,effektivitet,ISI,
efficiency factor,effektivitetsfaktor,ISI,
efficiency index,effektivitetsindex,ISI,
efficient estimator,effektiv estimator,ISI,
elementary contrast,elementär kontrast,ISI,
elementary renewal theorem,grundläggande förnyelsesatsen,ISI,
elementary unit,elementär enhet,ISI,
elimination,eliminering,ISI,
ellipse of concentration,koncentrationsellips,ISI,
ellipsoidal normal distribution,ellipsoid normalfördelning,ISI,
elliptical normal distribution,elliptisk normalfördelning,ISI,
elliptical truncation,elliptisk trunkering,ISI,
elliptically symmetric distributions,elliptiskt symmetrisk fördelning,ISI,
ellipticity,ellipticitet,ISI,
empirical Bayes' estimator,empirisk bayes-estimator,ISI,
empirical Bayes' procedure,empirisk bayes-procedur,ISI,
empirical distribution function,empirisk fördelningsfunktion,ISI,
empirical likelihood,empirisk likelihood,ISI,
empirical probit,empirisk probit,ISI,
end corrections,ändpunktskorrektion,ISI,
endogenous variate ; endogenous variable,endogen variabel,ISI,
entropy,entropi,ISI,
environmental statistics,miljöstatistik,ISI,
epidemic,epidemi; epidemisk,ISI,
epidemic process ; epidemic model,epidemisk process,ISI,
epidemiology,epidemiologi,ISI,
epsilon-independence ; ε-independence,epsilon-oberoende,ISI,
equal probability of selection method ; epsem sampling,urvalsmetod med lika sannolikheter,ISI,
equal-tails test,symmetriskt test,ISI,
